StudentID,Course,StudyHours,SleepHours,PlayHours,Marks
180,BSc_Math,7.96,8.02,1.69,94
181,BCom,4.68,6.51,1.72,59
182,BCom,3.96,6.62,0.58,51
183,BSc_CS,1.98,7.63,3.82,24
184,BCom,3.66,6.8,3.27,35
185,BSc_Math,5.74,5.04,3.62,59
186,BSc_Math,3.2,6.67,2.54,41
187,BCA,3.78,7.21,1.15,49
188,BCom,1.34,8.79,3.05,20
189,BSc_CS,6.94,7.11,0.87,85
190,BCA,6.01,8.51,3.95,62
191,BCA,7.09,5.62,3.25,76
192,BCA,1.58,4.28,1.1,23
193,BSc_Math,4.36,7.11,2.2,50
194,BBA,2.61,8.84,2.19,35
195,BCA,5.34,7.43,1.61,63
196,BBA,2.87,6.7,3.93,30
197,BSc_Math,4.78,8.07,1.79,59
198,BCA,4.88,7.54,2.55,54
199,BSc_Math,7.0,5.01,0.99,73
200,BBA,6.31,6.89,3.85,65
201,BCom,2.48,8.48,2.88,33
202,BA_English,2.43,4.91,1.23,27
203,BCA,7.53,8.44,0.94,93
204,BA_English,5.58,8.27,3.1,62
205,BBA,7.14,5.72,2.48,80
206,BCom,4.1,4.58,2.1,39
207,BA_English,3.22,5.31,0.59,36
208,BSc_CS,2.27,5.14,3.84,19
209,BBA,1.99,8.95,3.84,23
210,BSc_CS,4.69,6.62,2.62,47
211,BSc_CS,3.87,8.95,0.93,56
212,BSc_CS,5.46,5.7,0.55,68
213,BA_English,6.74,8.4,0.98,78
214,BBA,4.11,8.89,0.67,56
215,BCom,5.26,6.52,3.87,58
216,BA_English,6.04,8.48,2.34,65
217,BSc_Math,5.33,4.18,3.48,50
218,BCA,5.85,5.91,1.87,66
219,BA_English,4.03,6.5,3.87,41
220,BBA,4.1,7.56,2.3,47
221,BSc_Math,4.73,8.52,2.53,54
222,BBA,1.45,7.58,3.85,13
223,BCom,5.04,8.13,3.98,54
224,BCom,7.1,5.23,2.07,77
225,BSc_Math,5.83,8.03,1.48,67
226,BSc_Math,7.67,8.69,2.23,86
227,BBA,2.97,5.07,0.74,35
228,BBA,1.56,4.43,1.44,24
229,BBA,2.49,7.3,3.7,30
230,BBA,7.16,4.44,3.37,68
231,BCA,5.25,4.63,2.13,54
232,BA_English,4.54,8.52,2.1,56
233,BBA,5.59,4.51,1.07,61
234,BBA,2.01,5.46,1.73,21
235,BCA,2.0,7.6,2.23,26
236,BSc_CS,4.2,4.43,1.6,44
237,BCA,2.97,6.07,3.19,28
238,BSc_CS,7.83,7.56,3.38,81
239,BA_English,1.15,7.47,2.57,16
240,BCom,2.44,4.35,3.7,20
241,BBA,2.43,6.02,3.25,26
242,BSc_Math,1.85,4.55,1.06,24
243,BCA,5.06,8.28,1.81,64
244,BCom,4.07,6.1,2.6,40
245,BSc_CS,5.01,8.95,1.34,63
246,BA_English,6.87,7.29,2.67,71
247,BCA,5.35,7.49,2.13,67
248,BCom,5.15,8.92,0.94,65
249,BSc_Math,3.38,4.42,3.69,28
250,BBA,1.03,6.11,3.14,17
251,BBA,1.67,5.06,1.8,18
252,BSc_Math,6.77,4.51,2.67,68
253,BSc_CS,3.89,4.28,3.38,36
254,BBA,2.56,7.36,2.63,35
255,BSc_Math,7.02,6.83,3.3,75
256,BBA,4.9,8.73,3.47,58
257,BCA,3.7,8.48,2.39,46
258,BCom,7.06,4.12,3.42,69
259,BSc_CS,4.4,8.21,1.85,54
260,BA_English,7.14,6.22,1.87,79
261,BA_English,3.95,8.73,1.95,49
262,BCom,2.26,5.01,2.75,25
263,BA_English,2.83,4.19,0.82,38
264,BSc_Math,5.62,5.07,3.43,52
265,BA_English,7.99,4.59,1.7,88
266,BBA,3.51,6.67,1.57,45
267,BCA,7.92,6.71,2.26,80
268,BCom,7.6,4.88,1.05,80
269,BBA,6.69,4.65,1.51,66
270,BCA,3.7,5.59,1.71,40
271,BA_English,7.25,6.44,3.94,74
272,BSc_CS,1.34,4.41,0.94,16
273,BCA,1.58,4.38,2.35,14
274,BCA,7.2,8.76,1.39,88
275,BCA,1.9,7.27,0.92,33
276,BCom,5.65,5.16,1.07,59
277,BCA,1.67,5.61,3.18,15
278,BSc_CS,1.53,4.19,3.58,8
279,BCom,1.37,7.64,2.07,19
280,BSc_Math,3.09,7.41,0.76,43
281,BSc_Math,7.09,7.42,2.2,75
282,BA_English,2.34,8.77,1.35,35
283,BSc_Math,5.04,5.56,1.7,54
284,BA_English,6.08,4.19,3.55,57
285,BCom,7.86,6.94,2.84,87
286,BBA,6.28,7.82,2.64,72
287,BSc_Math,5.94,8.79,0.88,74
288,BA_English,5.75,5.1,2.76,55
289,BSc_CS,7.84,6.35,1.52,85
290,BCA,7.64,8.65,1.06,91
291,BBA,3.27,7.16,3.02,36
292,BCA,5.56,7.46,3.38,62
293,BSc_CS,6.29,7.68,3.98,67
294,BA_English,5.59,7.42,3.99,58
295,BA_English,4.67,4.41,2.08,48
296,BCA,5.83,8.94,2.28,66
297,BA_English,5.49,4.46,3.01,56
298,BCom,7.86,6.07,3.09,84
299,BA_English,3.5,7.87,1.26,50
300,BCA,7.38,4.48,1.53,76
301,BSc_CS,3.12,7.19,3.09,34
302,BCom,4.34,8.44,0.57,55
303,BCA,1.84,7.24,2.01,23
304,BBA,1.08,8.02,3.18,21
305,BCA,5.5,7.59,1.74,69
306,BA_English,4.26,6.11,3.34,47
307,BBA,7.8,7.73,3.52,84
308,BSc_Math,6.57,7.82,3.59,69
309,BCA,4.59,7.19,1.89,59
310,BBA,6.87,6.56,3.0,76
311,BCom,6.38,4.25,2.16,63
312,BCA,3.36,5.82,3.15,37
313,BCom,5.74,4.77,2.44,63
314,BBA,7.07,5.7,3.69,73
315,BCom,1.73,6.49,3.6,21
316,BCom,2.68,5.31,1.82,31
317,BBA,4.72,6.55,3.34,54
318,BCom,7.84,8.12,3.87,78
319,BA_English,2.89,6.45,1.86,32
320,BCA,1.61,8.63,3.41,26
321,BCA,2.8,4.84,1.3,30
322,BCA,3.88,6.34,1.35,43
323,BSc_Math,7.1,4.91,1.66,77
324,BBA,5.17,5.81,2.33,51
325,BA_English,4.21,6.33,3.89,42
326,BA_English,4.79,8.74,0.83,65
327,BA_English,5.18,5.11,0.98,60
328,BBA,6.46,4.93,1.48,73
329,BCom,5.5,7.45,2.58,61
330,BA_English,5.48,4.3,2.79,54
331,BSc_CS,7.78,6.95,3.81,84
332,BA_English,4.7,5.0,2.6,48
333,BBA,3.94,4.7,3.81,35
334,BSc_CS,1.16,4.89,1.55,17
335,BBA,7.79,8.92,3.94,87
336,BCom,6.09,4.99,2.13,60
337,BCA,5.18,7.66,0.89,64
338,BSc_Math,7.1,7.09,2.36,81
339,BA_English,2.44,6.57,3.05,25
340,BA_English,5.72,6.65,3.81,62
341,BA_English,7.66,7.16,0.57,86
342,BCA,7.98,7.5,0.83,89
343,BSc_Math,7.54,4.9,3.7,72
344,BBA,3.1,4.7,3.55,29
345,BCom,7.08,6.14,0.67,78
346,BCom,3.96,7.44,3.62,44
347,BSc_Math,2.04,5.17,1.04,29
348,BA_English,4.22,8.25,2.46,52
349,BBA,2.05,6.97,1.41,28
350,BCom,4.31,5.88,1.13,48
351,BSc_CS,3.93,5.28,1.76,49
352,BCA,1.23,8.93,1.27,29
353,BSc_Math,3.47,4.61,1.38,43
354,BA_English,2.0,6.34,1.61,25
355,BA_English,4.07,4.22,3.48,40
356,BSc_Math,7.25,8.8,3.57,80
357,BCom,6.37,5.19,0.72,71
358,BSc_CS,5.7,7.05,0.67,71
359,BA_English,3.01,7.46,1.17,42
360,BSc_Math,7.74,4.15,0.88,84
361,BSc_CS,2.48,6.29,0.88,31
362,BCA,7.96,4.75,1.65,84
363,BCA,1.63,8.94,2.13,27
364,BA_English,4.02,5.33,3.21,38
365,BCom,7.67,5.9,1.82,82
366,BSc_Math,7.53,5.54,1.61,82
367,BA_English,2.41,6.12,3.86,19
368,BCA,5.68,4.37,3.86,57
369,BBA,3.15,4.87,2.33,37
370,BCA,3.63,8.43,1.79,46
371,BA_English,6.34,6.47,1.33,71
372,BSc_CS,6.26,4.57,2.63,67
373,BCom,1.67,8.63,3.01,26
374,BSc_Math,2.96,5.91,2.62,34
375,BA_English,3.54,8.19,3.44,36
376,BSc_CS,1.33,4.5,1.58,15
377,BBA,1.26,6.97,3.13,13
378,BCom,7.83,5.71,2.48,86
379,BSc_Math,3.67,7.98,1.93,49
380,BCom,1.7,7.36,2.14,22
381,BA_English,1.4,4.47,2.4,16
382,BSc_Math,4.38,5.32,3.39,45
383,BBA,4.7,6.8,3.21,50
384,BBA,2.33,7.76,1.61,29
385,BCom,3.37,7.72,2.84,45
386,BA_English,4.18,6.78,2.61,50
387,BSc_CS,4.63,7.62,1.6,55
388,BCom,3.75,6.34,3.18,42
389,BA_English,3.64,7.54,1.43,42
390,BA_English,1.52,8.43,2.44,25
391,BA_English,6.88,7.46,0.51,85
392,BBA,2.93,7.38,0.98,45
393,BSc_Math,2.54,7.45,3.32,25
394,BSc_Math,5.41,7.81,2.59,66
395,BBA,4.62,5.92,3.33,43
396,BCom,7.49,6.51,2.48,78
397,BSc_CS,5.27,5.65,3.9,48
398,BBA,6.5,5.36,3.77,63
399,BCA,3.52,7.98,2.12,48
400,BSc_CS,4.62,8.53,2.78,58
401,BSc_CS,6.42,8.19,3.03,73
402,BCA,7.37,6.58,2.62,82
403,BSc_CS,3.97,7.67,1.15,52
404,BCA,6.33,5.65,1.54,70
405,BCom,5.12,7.6,2.38,56
406,BBA,5.9,8.26,2.16,69
407,BCom,2.5,4.49,2.37,30
408,BSc_CS,7.0,7.07,1.11,79
409,BSc_CS,7.06,7.95,3.84,74
410,BSc_CS,1.39,6.47,2.8,19
411,BCA,5.11,8.51,2.14,59
412,BA_English,7.74,7.07,1.18,83
413,BCA,7.49,7.62,3.33,79
414,BCA,7.12,8.7,1.88,85
415,BSc_Math,4.71,7.37,2.5,51
416,BCom,4.74,5.63,2.55,48
417,BCA,5.09,4.39,0.65,53
418,BBA,1.73,8.22,2.56,23
419,BSc_Math,6.28,7.16,0.8,76
420,BSc_CS,2.37,4.67,3.65,21
421,BCA,2.69,5.82,2.57,30
422,BA_English,3.95,6.3,0.8,45
423,BCom,6.2,6.77,2.06,64
424,BSc_Math,3.04,8.45,3.25,37
425,BA_English,7.74,4.51,2.59,80
426,BSc_CS,1.08,7.81,2.92,14
427,BCA,1.35,5.69,2.26,15
428,BCA,3.98,4.96,3.41,40
429,BSc_Math,4.95,5.73,1.02,57
430,BSc_Math,2.05,6.73,1.37,33
431,BCom,1.59,6.87,3.64,22
432,BSc_CS,6.04,5.08,3.92,61
433,BBA,5.31,5.14,1.55,57
434,BSc_Math,1.24,7.72,3.03,15
435,BA_English,6.03,7.16,1.11,70
436,BCA,7.29,7.41,2.87,82
437,BBA,3.89,7.04,3.32,40
438,BA_English,6.75,5.39,1.9,74
439,BSc_CS,4.43,7.68,0.57,59
440,BA_English,1.76,7.95,0.58,30
441,BCA,5.82,4.72,1.3,67
442,BSc_Math,5.2,8.74,3.4,63
443,BCom,1.81,6.16,1.12,27
444,BCA,1.23,6.9,3.44,13
445,BBA,3.46,8.65,3.35,45
446,BCom,1.52,5.29,1.34,26
447,BSc_CS,2.78,6.11,3.91,24
448,BCA,1.69,5.63,3.91,21
449,BBA,3.51,8.4,3.78,39
450,BCom,4.14,4.92,3.0,46
451,BSc_Math,1.11,8.68,2.57,25
452,BCA,3.07,7.65,3.27,31
453,BSc_Math,6.18,4.06,1.42,69
454,BBA,1.23,7.39,3.06,22
455,BSc_CS,2.95,5.95,3.49,34
456,BCA,4.41,6.86,2.42,47
457,BSc_Math,6.33,8.44,0.64,75
458,BSc_Math,5.19,5.85,2.44,60
459,BCA,1.49,6.66,2.87,21
460,BA_English,2.72,5.84,1.54,36
461,BA_English,5.41,6.36,2.16,57
462,BBA,6.36,4.63,1.44,64
463,BSc_Math,2.26,8.13,3.73,28
464,BA_English,4.5,4.79,0.5,51
465,BCom,5.25,8.98,1.36,62
466,BCA,1.82,5.76,2.52,21
467,BSc_CS,2.44,5.19,2.28,31
468,BBA,4.48,8.98,2.03,54
469,BA_English,7.95,8.79,2.81,86
470,BBA,2.81,7.4,1.44,38
471,BSc_CS,6.68,4.19,2.21,67
472,BA_English,4.27,4.59,2.7,43
473,BSc_CS,4.22,4.41,1.99,47
474,BCA,3.21,5.26,1.68,40
475,BCA,3.75,4.51,3.21,34
476,BCA,3.19,5.41,1.08,41
477,BSc_Math,2.93,4.06,1.03,34
478,BSc_Math,6.47,8.17,1.61,78
479,BA_English,7.52,8.51,1.49,83
480,BSc_Math,7.95,6.28,3.58,79
481,BBA,6.15,5.85,0.59,74
482,BBA,1.79,6.37,2.81,18
483,BCom,4.89,6.92,1.67,54
484,BCom,5.13,5.48,1.19,56
485,BSc_Math,1.12,8.99,2.79,23
486,BBA,4.49,7.92,0.81,61
487,BCom,7.71,4.45,2.32,82
488,BA_English,1.47,7.03,2.53,21
489,BBA,5.6,5.12,3.78,58
490,BCA,5.69,5.4,2.31,65
491,BBA,6.6,4.37,3.16,60
492,BCom,5.37,5.45,2.75,51
493,BBA,3.61,8.61,3.95,40
494,BBA,4.79,8.85,1.26,60
495,BCA,6.56,6.56,2.65,68
496,BSc_CS,1.73,7.69,3.32,21
497,BCA,2.58,7.58,1.34,38
498,BBA,2.3,5.68,1.64,25
499,BSc_CS,4.54,7.63,2.71,52
500,BCA,7.22,5.08,0.77,81
501,BBA,4.29,5.68,3.22,39
502,BBA,3.62,8.23,2.31,44
503,BA_English,2.76,4.09,1.58,33
504,BCom,3.81,6.37,3.44,39
505,BSc_Math,3.11,4.64,3.72,24
506,BCA,3.15,6.65,1.88,44
507,BBA,7.4,8.12,2.3,79
508,BSc_CS,5.75,7.78,2.93,67
509,BA_English,2.07,5.92,1.21,25
510,BCA,1.17,7.23,1.59,19
511,BBA,7.62,4.52,3.93,70
512,BSc_CS,2.63,8.37,3.72,31
513,BBA,7.85,5.28,3.34,74
514,BCA,3.17,7.87,3.4,35
515,BSc_Math,4.6,5.69,2.49,45
516,BBA,7.55,5.47,2.57,76
517,BSc_Math,5.25,7.4,0.86,67
518,BSc_Math,2.93,4.68,3.49,32
519,BSc_CS,4.73,8.26,3.04,55
520,BSc_CS,1.53,6.59,2.82,21
521,BSc_CS,2.94,8.04,1.77,43
522,BCom,2.6,5.2,0.6,37
523,BA_English,6.0,5.84,1.69,66
524,BCA,1.33,4.68,1.01,22
525,BCA,5.29,7.96,3.38,62
526,BBA,3.92,6.88,2.66,47
527,BA_English,6.97,4.34,3.16,64
528,BSc_CS,4.42,5.56,2.81,49
529,BSc_CS,7.14,5.07,2.56,70
530,BCom,3.08,6.08,2.11,37
531,BBA,6.88,7.28,3.51,74
532,BCom,5.13,4.52,2.14,50
533,BSc_Math,2.31,4.73,2.49,24
534,BCom,3.42,7.27,2.73,36
535,BSc_CS,5.83,5.35,2.94,63
536,BSc_CS,4.27,6.03,3.86,41
537,BSc_CS,5.04,6.31,1.94,61
538,BA_English,5.72,7.97,1.41,71
539,BSc_Math,6.3,7.92,1.49,78
540,BSc_Math,1.78,8.75,1.82,31
541,BBA,2.24,4.9,3.06,25
542,BSc_CS,5.37,8.19,2.16,65
543,BCom,7.06,6.08,0.67,77
544,BSc_CS,3.67,8.2,2.49,45
545,BCom,1.96,6.1,0.53,27
546,BCom,6.29,8.7,3.81,69
547,BBA,5.57,8.18,1.82,69
548,BCA,5.7,5.38,3.2,56
549,BSc_Math,3.1,8.32,0.91,44
550,BSc_CS,2.19,8.66,2.73,30
551,BBA,6.98,6.88,0.94,76
552,BA_English,4.43,7.15,1.56,56
553,BA_English,4.92,6.3,2.58,58
554,BBA,6.64,5.46,2.62,71
555,BSc_Math,3.63,7.39,1.06,44
556,BA_English,2.94,4.66,2.77,29
557,BCA,6.05,6.2,1.88,65
558,BCA,7.94,6.42,3.96,76
559,BSc_Math,5.87,8.7,2.17,65
560,BSc_CS,4.36,5.95,2.73,47
561,BSc_CS,1.08,6.31,0.81,25
562,BBA,7.27,6.15,3.08,80
563,BCom,4.17,4.61,2.83,45
564,BCom,1.26,5.57,1.09,18
565,BA_English,7.2,5.3,2.18,71
566,BCA,4.26,6.59,1.18,54
567,BA_English,3.73,5.52,3.0,38
568,BSc_CS,4.68,6.08,2.33,56
569,BA_English,2.44,5.04,2.2,28
570,BCA,7.45,7.13,1.39,82
571,BA_English,7.53,5.04,3.78,72
572,BBA,6.31,4.76,2.24,69
573,BCom,7.78,7.31,1.33,84
574,BA_English,7.38,8.02,3.87,74
575,BCom,5.6,5.34,1.06,65
576,BCA,5.9,6.48,1.39,63
577,BBA,6.39,5.6,3.25,61
578,BSc_Math,3.74,5.19,3.27,35
579,BA_English,2.54,8.39,2.28,37
580,BCA,1.99,4.87,3.82,20
581,BA_English,5.59,4.06,3.11,59
582,BSc_Math,1.45,8.52,3.16,20
583,BCom,5.23,6.86,2.99,56
584,BCA,1.48,5.47,1.15,19
585,BCom,1.3,4.21,0.83,19
586,BSc_Math,7.07,6.95,3.42,78
587,BA_English,2.68,5.73,3.03,25
588,BCom,7.44,4.8,2.18,78
589,BA_English,6.81,5.73,3.51,64
590,BBA,1.35,8.03,2.33,21
591,BA_English,4.62,8.64,3.36,49
592,BSc_CS,3.44,7.62,3.84,40
593,BSc_Math,5.71,8.1,1.66,64
594,BA_English,4.7,6.5,2.31,54
595,BBA,5.92,7.91,3.06,62
596,BCom,7.48,5.23,1.14,82
597,BCA,5.47,8.03,2.19,61
598,BBA,2.92,7.85,2.3,37
599,BSc_Math,7.84,4.2,0.63,84
600,BCA,6.73,4.98,0.51,74
601,BA_English,4.88,8.98,3.27,52
602,BA_English,5.31,6.77,2.7,56
603,BCA,7.52,6.96,3.71,81
604,BSc_CS,3.81,8.67,1.1,47
605,BCA,2.8,7.44,0.86,36
606,BA_English,5.47,8.16,2.24,60
607,BSc_CS,3.72,5.58,3.72,37
608,BA_English,7.86,7.95,1.2,91
609,BCA,2.49,7.62,0.6,38
610,BBA,3.55,8.86,2.92,48
611,BBA,7.93,5.81,1.21,90
612,BBA,3.25,6.77,3.89,31
613,BCA,4.99,7.83,1.36,62
614,BCA,7.17,4.33,3.47,72
615,BA_English,4.88,7.26,2.81,59
616,BBA,4.77,7.34,1.57,61
617,BCA,4.27,5.68,0.55,57
618,BCA,6.89,4.12,2.83,66
619,BBA,4.21,6.55,1.97,49
620,BA_English,1.06,8.17,2.81,18
621,BSc_CS,1.66,6.45,2.54,25
622,BCA,5.13,5.48,1.38,57
623,BSc_Math,5.14,5.87,2.69,59
624,BCA,7.21,8.37,1.62,87
625,BCA,1.31,6.16,1.32,19
626,BBA,1.64,7.65,2.69,25
627,BSc_Math,2.54,6.89,0.82,34
628,BCom,6.75,4.81,1.51,74
629,BA_English,1.42,8.03,3.86,18
630,BA_English,2.09,8.2,3.5,26
631,BBA,5.34,8.22,3.84,54
632,BA_English,3.69,5.66,1.32,43
633,BCA,4.18,8.09,3.74,50
634,BA_English,3.9,7.1,0.72,52
635,BSc_CS,3.88,8.48,1.13,56
636,BBA,7.75,8.27,1.48,85
637,BBA,1.58,8.34,3.34,20
638,BCom,3.15,4.57,3.29,34
639,BSc_CS,4.74,6.51,0.63,61
640,BCom,6.71,5.33,2.62,74
641,BBA,4.76,8.34,1.38,63
642,BA_English,5.61,7.26,3.57,62
643,BCom,6.92,4.17,2.92,65
644,BBA,2.11,5.5,1.88,27
645,BCom,6.2,7.3,1.76,73
646,BCA,5.83,4.05,2.8,55
647,BSc_Math,4.71,7.6,1.78,59
648,BSc_CS,2.65,4.23,0.97,33
649,BSc_CS,4.16,6.84,3.63,42
650,BSc_Math,1.49,8.66,1.63,25
651,BSc_CS,1.74,6.82,3.52,18
652,BCom,4.12,6.25,3.97,46
653,BSc_Math,2.47,6.5,3.92,22
654,BCA,5.15,7.71,3.99,53
655,BSc_CS,6.24,9.0,2.57,72
656,BA_English,2.62,5.72,3.27,24
657,BCA,6.61,7.93,3.08,73
658,BCom,1.13,6.6,2.14,21
659,BBA,4.34,7.61,1.51,49
660,BBA,3.37,7.29,1.88,41
661,BA_English,2.31,5.7,0.88,34
